Real-Time,Turn-based,Persistent,Meditative / Zen,platform,country
61.0,77.0,4.0,4.0,PlayStation 3,Japan
16.0,8.0,2.0,,PlayStation 4,Germany
30.0,37.0,5.0,5.0,PlayStation 4,Japan
,,,,Playdia,Germany
,1.0,,,Playdia,Japan
,,,,Pokémon Mini,Germany
,,,,Pokémon Mini,Japan
,,,,SEGA 32X,Germany
,1.0,,,SEGA 32X,Japan
4.0,1.0,,,SEGA CD,Germany
4.0,24.0,,,SEGA CD,Japan
7.0,3.0,,,SEGA Master System,Germany
,2.0,,,SEGA Master System,Japan
,,,,SEGA Pico,Germany
,,,,SEGA Pico,Japan
3.0,,,,SEGA Saturn,Germany
38.0,72.0,,6.0,SEGA Saturn,Japan
,,,,SG-1000,Germany
12.0,8.0,10.0,,SG-1000,Japan
4.0,,,,SNES,Germany
51.0,131.0,,4.0,SNES,Japan
,,,,Sharp MZ-80B/2000/2500,Germany
3.0,2.0,,,Sharp MZ-80B/2000/2500,Japan
,,,,Sharp MZ-80K/700/800/1500,Germany
1.0,1.0,,,Sharp MZ-80K/700/800/1500,Japan
,,,,Sharp X1,Germany
20.0,45.0,,1.0,Sharp X1,Japan
,,,,Sharp X68000,Germany
27.0,94.0,,,Sharp X68000,Japan
,,,,Sharp Zaurus,Germany
1.0,,,,Sharp Zaurus,Japan
,1.0,,,Sinclair QL,Germany
,,,,Sinclair QL,Japan
,,,,Sord M5,Germany
,,,,Sord M5,Japan
,,,,Spectravideo,Germany
,,,,Spectravideo,Japan
,,,,SuperGrafx,Germany
,,,,SuperGrafx,Japan
1.0,,,,Symbian,Germany
,,,,Symbian,Japan
,,,,Tele-Spiel ES-2201,Germany
,,,,Tele-Spiel ES-2201,Japan
,,,,Tomy Tutor,Germany
,,,,Tomy Tutor,Japan
,,,,TurboGrafx CD,Germany
11.0,89.0,,,TurboGrafx CD,Japan
,,,,TurboGrafx-16,Germany
7.0,15.0,,2.0,TurboGrafx-16,Japan
,,,,V.Smile,Germany
,,,,V.Smile,Japan
,,,,VIC-20,Germany
,,,,VIC-20,Japan
,,,,Vectrex,Germany
,,,,Vectrex,Japan
,,,,Virtual Boy,Germany
4.0,1.0,,,Virtual Boy,Japan
,,,,Wang 2200,Germany
,,,,Wang 2200,Japan
10.0,9.0,2.0,,Wii,Germany
38.0,71.0,5.0,4.0,Wii,Japan
4.0,5.0,1.0,1.0,Wii U,Germany
25.0,59.0,3.0,2.0,Wii U,Japan
1196.0,405.0,96.0,4.0,Windows,Germany
105.0,89.0,19.0,15.0,Windows,Japan
12.0,25.0,,1.0,Windows 3.x,Germany
1.0,8.0,,5.0,Windows 3.x,Japan
,,,,Windows Mobile,Germany
,,,,Windows Mobile,Japan
1.0,1.0,,,Windows Phone,Germany
,,,,Windows Phone,Japan
,,,,WonderSwan,Germany
5.0,10.0,,,WonderSwan,Japan
,,,,WonderSwan Color,Germany
3.0,17.0,1.0,,WonderSwan Color,Japan
,,,,XaviXPORT,Germany
,,,,XaviXPORT,Japan
9.0,3.0,,,Xbox,Germany
7.0,4.0,,,Xbox,Japan
27.0,16.0,,1.0,Xbox 360,Germany
22.0,19.0,3.0,,Xbox 360,Japan
2.0,1.0,1.0,,Xbox One,Germany
3.0,1.0,,,Xbox One,Japan
6.0,8.0,,,ZX Spectrum,Germany
,,,,ZX Spectrum,Japan
,3.0,2.0,,iPad,Germany
2.0,24.0,2.0,4.0,iPad,Japan
1.0,3.0,3.0,2.0,iPhone,Germany
4.0,25.0,3.0,6.0,iPhone,Japan
