Visual Novel,Shooter,Platform,Puzzle elements,Metroidvania,Vehicle Simulator,Arcade,Tile Matching Puzzle,Falling Block Puzzle,Cards / Tiles,Fighting,Managerial / Business Simulation,Beat 'em up / Brawler,Martial Arts,Vehicular Combat Simulator,Rail Shooter,Tricks / Stunts,Japanese-style RPG (JRPG),Pinball,RPG elements,Action RPG,Roguelike,Paddle / Pong,Board Game,Game Show / Trivia / Quiz,Casino / Gambling,Wargame,Interactive Fiction / Text Adventure,Life / Social Simulation,Stealth,Graphic Adventure,Japanese-style Adventure,Music / Rhythm,Massively Multiplayer,Trading / Collectible Card,Tactical RPG,Dating Simulation,Hack and Slash,Chess,4X,Survival Horror,City Building / Construction Simulation,Mental training,Party Game,Mini-Games,Tactical Shooter,Quick Time Events (QTEs),Sandbox / Open World,Timed Input,Artillery,Word Construction,Interactive Book,Hidden object,Hunting,Tower Defense,Time Management,platform,country
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Japan
,3.0,1.0,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Browser,Germany
,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Browser,Japan
,10.0,7.0,9.0,1.0,,15.0,,1.0,1.0,2.0,,1.0,,,5.0,,,2.0,,,,,5.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,CD-i,Germany
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD-i,Japan
,5.0,2.0,2.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,CDTV,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDTV,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Germany
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Germany
,4.0,2.0,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Japan
,17.0,,,,,15.0,1.0,,4.0,,,,,,,,,,,,,5.0,4.0,,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,Channel F,Germany
,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel F,Japan
,2.0,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Japan
,15.0,9.0,5.0,,1.0,21.0,1.0,1.0,2.0,1.0,,,3.0,,,,,,,,,3.0,2.0,1.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
,176.0,125.0,65.0,3.0,6.0,247.0,11.0,6.0,13.0,29.0,30.0,15.0,19.0,8.0,3.0,9.0,,2.0,3.0,,1.0,12.0,17.0,5.0,2.0,1.0,17.0,1.0,1.0,7.0,,1.0,,,,,,7.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,1.0,Commodore 64,Germany
,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commodore 64,Japan
