Adult,Comedy,War,Horror,Crime,Detective / Mystery,Spy / Espionage,Romance,Thriller,Survival,Healthcare,platform,country
,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,Microvision,Japan
,1.0,1.0,1.0,,,1.0,,,,,N-Gage,Germany
,,,,,,,,,,,N-Gage,Japan
,,,2.0,,,,,,,1.0,NES,Germany
7.0,5.0,4.0,13.0,7.0,23.0,10.0,1.0,,,1.0,NES,Japan
,,,,,,,,,,,Neo Geo,Germany
,,1.0,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,,Neo Geo CD,Germany
1.0,,1.0,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,,Neo Geo Pocket,Germany
,,,,,,,,,,,Neo Geo Pocket,Japan
,,1.0,,,,,,,,,Neo Geo Pocket Color,Germany
1.0,,1.0,1.0,,,,,,,,Neo Geo Pocket Color,Japan
,1.0,,,,,,,,,,New Nintendo 3DS,Germany
,,,1.0,,,,,,1.0,,New Nintendo 3DS,Japan
,,,1.0,1.0,3.0,2.0,,1.0,,,Nintendo 3DS,Germany
,3.0,5.0,11.0,5.0,16.0,3.0,1.0,1.0,1.0,1.0,Nintendo 3DS,Japan
1.0,4.0,1.0,4.0,,,2.0,,,,,Nintendo 64,Germany
,,,3.0,,,,,,,,Nintendo 64,Japan
,,,2.0,2.0,18.0,5.0,,,,,Nintendo DS,Germany
,3.0,3.0,7.0,4.0,43.0,1.0,,,,5.0,Nintendo DS,Japan
,,,,,,,,,,,Nintendo DSi,Germany
,1.0,,,,,,,,,,Nintendo DSi,Japan
1.0,9.0,4.0,6.0,2.0,3.0,1.0,,,4.0,,Nintendo Switch,Germany
10.0,11.0,5.0,22.0,2.0,10.0,2.0,10.0,1.0,5.0,,Nintendo Switch,Japan
,,,,,,,,,,,Odyssey,Germany
,,,,,,,,,,,Odyssey,Japan
,,,,,,,,,,,Odyssey 2,Germany
,,,,,,,,,,,Odyssey 2,Japan
,,,,,,,,,,,PC Booter,Germany
,,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,,PC-6001,Germany
,,,1.0,,2.0,,,,,,PC-6001,Japan
,,,,,,,,,,,PC-8000,Germany
,1.0,,,,1.0,,,,,,PC-8000,Japan
,,,,,,,,,,,PC-88,Germany
75.0,3.0,3.0,8.0,,34.0,4.0,1.0,,,,PC-88,Japan
,,,,,,,,,,,PC-98,Germany
554.0,4.0,12.0,38.0,,63.0,,2.0,,,2.0,PC-98,Japan
,,,,,,,,,,,PC-FX,Germany
7.0,,,,,1.0,,,,,,PC-FX,Japan
1.0,2.0,2.0,3.0,,2.0,,,1.0,2.0,,PS Vita,Germany
12.0,4.0,5.0,21.0,4.0,17.0,5.0,32.0,4.0,4.0,1.0,PS Vita,Japan
,,1.0,4.0,2.0,3.0,2.0,,,,,PSP,Germany
7.0,6.0,3.0,24.0,6.0,34.0,8.0,26.0,2.0,4.0,1.0,PSP,Japan
,,,,,,,,,,,Palm OS,Germany
,,,,,,,,,,,Palm OS,Japan
,,,,,,,,,,,Pippin,Germany
,,,,,,,,,,,Pippin,Japan
2.0,6.0,14.0,18.0,2.0,6.0,9.0,,,,,PlayStation,Germany
8.0,19.0,18.0,61.0,5.0,44.0,11.0,20.0,3.0,7.0,3.0,PlayStation,Japan
8.0,11.0,12.0,29.0,20.0,19.0,28.0,,6.0,,1.0,PlayStation 2,Germany
20.0,15.0,8.0,50.0,13.0,34.0,18.0,22.0,2.0,2.0,1.0,PlayStation 2,Japan
2.0,8.0,26.0,14.0,9.0,7.0,9.0,2.0,3.0,,,PlayStation 3,Germany
8.0,3.0,7.0,30.0,8.0,19.0,11.0,13.0,3.0,3.0,1.0,PlayStation 3,Japan
1.0,5.0,7.0,9.0,3.0,4.0,,,1.0,5.0,,PlayStation 4,Germany
9.0,6.0,9.0,17.0,7.0,15.0,3.0,13.0,5.0,8.0,,PlayStation 4,Japan
,,,,,,,,,,,Playdia,Germany
,,,,,,,,,,,Playdia,Japan
,,,,,,,,,,,Pokémon Mini,Germany
,,,,,,,,,,,Pokémon Mini,Japan
,,,3.0,,,,,,,,SEGA 32X,Germany
,,,1.0,,,,,,,,SEGA 32X,Japan
,1.0,,2.0,,1.0,,,,,,SEGA CD,Germany
,2.0,,1.0,,6.0,,,,,,SEGA CD,Japan
,,2.0,4.0,2.0,,2.0,,,,,SEGA Master System,Germany
,,,1.0,,1.0,1.0,,,,,SEGA Master System,Japan
,,,,,,,,,,,SEGA Pico,Germany
,,,,,,,,,,,SEGA Pico,Japan
,,,4.0,,1.0,,,,,,SEGA Saturn,Germany
24.0,7.0,7.0,28.0,,22.0,,13.0,2.0,,2.0,SEGA Saturn,Japan
,,,,,,,,,,,SG-1000,Germany
