Bowling,Sailing / Boating,Snowboarding / Skiing,Horse / Derby,Boxing,Fishing,Golf,Basketball,Pool / Snooker,Football (European) / Soccer,Ping Pong / Table Tennis,Olympiad / Mixed Sports,Dodgeball,Volleyball,Baseball,Rugby,Wrestling,Football (American),Racquetball / Squash,Darts / Target Shooting,Tennis,Hockey,Surfing,Skateboarding,Athletics,Wakeboarding,Paintball,platform,country,Cricket
,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Japan,
,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,ExEn,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FM Towns,Germany,
,,,1.0,3.0,,2.0,,,,,,,,,,5.0,,,,2.0,,,,,,,FM Towns,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-7,Germany,
,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,FM-7,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Japan,
,,,,,,,7.0,,9.0,,,,,,,,,9.0,9.0,9.0,9.0,,,,,,GIMINI,Germany,
,,,,,,,3.0,,4.0,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,GIMINI,Japan,
,,1.0,,1.0,,1.0,1.0,,5.0,,1.0,,,,,1.0,2.0,,,,1.0,,,,,,Game Boy,Germany,
1.0,,,,2.0,2.0,4.0,3.0,1.0,7.0,1.0,2.0,2.0,2.0,3.0,,6.0,,,,2.0,2.0,,,,,,Game Boy,Japan,
,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,1.0,4.0,,,,Game Boy Advance,Germany,
,,1.0,,,2.0,2.0,,,1.0,,1.0,1.0,,2.0,,2.0,,,,3.0,,,1.0,,,,Game Boy Advance,Japan,
,,2.0,2.0,,1.0,1.0,,,6.0,,1.0,,,1.0,,2.0,2.0,,,1.0,,,1.0,,,,Game Boy Color,Germany,
1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,Game Boy Color,Japan,
,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,Game Gear,Germany,
,,2.0,,1.0,,5.0,2.0,,3.0,,2.0,,,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,,,Game Gear,Japan,
1.0,1.0,4.0,,3.0,,6.0,7.0,,11.0,,,,1.0,2.0,,2.0,4.0,,,1.0,4.0,,5.0,,,,GameCube,Germany,
1.0,1.0,5.0,,2.0,,3.0,3.0,,5.0,,1.0,,1.0,3.0,,4.0,1.0,,,1.0,,,3.0,,,,GameCube,Japan,
1.0,,,,1.0,,,5.0,,8.0,,2.0,,,,1.0,,6.0,,,1.0,3.0,2.0,1.0,,,,Genesis,Germany,
1.0,,1.0,,5.0,1.0,10.0,11.0,2.0,11.0,,2.0,1.0,1.0,7.0,1.0,6.0,10.0,,,2.0,1.0,1.0,,,,,Genesis,Japan,
,,,,,,,1.0,,4.0,,,,,,,,,4.0,,4.0,1.0,,,,,,Ideal-Computer,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Japan,
,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,Interton Video 2000,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan,
1.0,,,,1.0,,2.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,J2ME,Germany,
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,J2ME,Japan,
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Jaguar,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LaserActive,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LaserActive,Japan,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,Japan,
,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,Lynx,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Japan,
1.0,,,,2.0,,1.0,1.0,2.0,5.0,,5.0,,,1.0,,,,,,2.0,,,,,,,MSX,Germany,
1.0,,,,1.0,1.0,8.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,1.0,3.0,1.0,,,3.0,1.0,,,,,,MSX,Japan,
1.0,,,2.0,,,3.0,,,4.0,,,,,1.0,,,,,,,,1.0,2.0,,1.0,,Macintosh,Germany,
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Macintosh,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Japan,
,,1.0,,,,1.0,,,3.0,,,,,,,,,,,1.0,,,1.0,,,,N-Gage,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Gage,Japan,
,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,NES,Germany,
2.0,,,1.0,3.0,3.0,10.0,6.0,3.0,11.0,1.0,9.0,2.0,2.0,16.0,,6.0,4.0,,,5.0,4.0,1.0,1.0,,,,NES,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo,Germany,
1.0,,,2.0,1.0,,1.0,,,6.0,,,,,3.0,,1.0,1.0,,,,,,,,,,Neo Geo,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo CD,Germany,
1.0,,,1.0,,,2.0,,,5.0,,,,1.0,2.0,,,1.0,,,,,,,,,,Neo Geo CD,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Germany,
