Foreign Language,Health / Nutrition,Ecology / Nature,Math / Logic,Music,Typing,Reading / Writing,Geography,Graphics / Art,History,Pre-school / Toddler,Science,Sociology,platform,country,Religion
4.0,,,,,4.0,,,,,,,,Macintosh,Japan,
,,,,,,,,,,,,,Microvision,Germany,
,,,,,,,,,,,,,Microvision,Japan,
,,,,,,,,,,,,,N-Gage,Germany,
,,,,,,,,,,,,,N-Gage,Japan,
,,,,,,,,,,,,,NES,Germany,
1.0,,,9.0,1.0,,1.0,,1.0,,1.0,,,NES,Japan,
,,,,,,,,,,,,,Neo Geo,Germany,
,,,,,,,,,,,,,Neo Geo,Japan,
,,,,,,,,,,,,,Neo Geo CD,Germany,
,,,,,,,,,,,,,Neo Geo CD,Japan,
,,,,,,,,,,,,,Neo Geo Pocket,Germany,
,,,,,,,,,,,,,Neo Geo Pocket,Japan,
,,,,,,,,,,,,,Neo Geo Pocket Color,Germany,
,,,,,,,,,,,,,Neo Geo Pocket Color,Japan,
,,,,,,,,,,,,,New Nintendo 3DS,Germany,
,,,,,,,,,,,,,New Nintendo 3DS,Japan,
,,,1.0,,,,,,,,,,Nintendo 3DS,Germany,
,,,5.0,,,,,1.0,,,,,Nintendo 3DS,Japan,
,,,1.0,,,,,,,,,,Nintendo 64,Germany,
,,,1.0,,,,,5.0,,,,,Nintendo 64,Japan,
4.0,6.0,4.0,7.0,2.0,,3.0,4.0,2.0,4.0,1.0,5.0,3.0,Nintendo DS,Germany,1.0
7.0,2.0,,4.0,1.0,2.0,3.0,1.0,,,,,,Nintendo DS,Japan,
,,,,,,,,,,,,,Nintendo DSi,Germany,
,,,,2.0,,,,,,,,,Nintendo DSi,Japan,
1.0,,,6.0,,,,,1.0,1.0,,,1.0,Nintendo Switch,Germany,
,,,5.0,,,,,,,,,,Nintendo Switch,Japan,
,,,,,,,,,,,,,Odyssey,Germany,
,,,,,,,,,,,,,Odyssey,Japan,
,,,,,,,,,,,,,Odyssey 2,Germany,
,,,,,,,,,,,,,Odyssey 2,Japan,
,,,,,,,,,,,,,PC Booter,Germany,
,,,,,,,,,,,,,PC Booter,Japan,
,,,,,,,,,,,,,PC-6001,Germany,
,,,,,,,,,,,,,PC-6001,Japan,
,,,,,,,,,,,,,PC-8000,Germany,
,,,,,,,,,,,,,PC-8000,Japan,
,,,,,,,,,,,,,PC-88,Germany,
,,,,,,,1.0,,1.0,,,,PC-88,Japan,
,,,,,,,,,,,,,PC-98,Germany,
4.0,,4.0,,,,,1.0,,1.0,1.0,1.0,,PC-98,Japan,
,,,,,,,,,,,,,PC-FX,Germany,
,,,,,,,,,,,,,PC-FX,Japan,
,,,,,,,,,,,,,PS Vita,Germany,
,,,1.0,,,,,,,,,,PS Vita,Japan,
1.0,,,,,,,,,,,,,PSP,Germany,
,,,1.0,,,,,,,,,,PSP,Japan,
,,,,,,,,,,,,,Palm OS,Germany,
,,,,,,,,,,,,,Palm OS,Japan,
,,,,,,,,,,,,,Pippin,Germany,
,,,,,,,,1.0,,,,,Pippin,Japan,
,,,1.0,,,,,,1.0,,1.0,,PlayStation,Germany,
2.0,,,2.0,2.0,,2.0,,2.0,,2.0,,,PlayStation,Japan,
,,1.0,,,,,,,,,,,PlayStation 2,Germany,
,,,,,2.0,1.0,1.0,1.0,,,,,PlayStation 2,Japan,
,,,,,,,1.0,,1.0,,,,PlayStation 3,Germany,
,,,1.0,,,,,,,,,,PlayStation 3,Japan,
,,,,,,,1.0,,1.0,,2.0,,PlayStation 4,Germany,
,,,,,,,,,,1.0,,,PlayStation 4,Japan,
,,,,,,,,,,,,,Playdia,Germany,
,,,,,,,,,,,,,Playdia,Japan,
,,,,,,,,,,,,,Pokémon Mini,Germany,
,,,,,,,,,,,,,Pokémon Mini,Japan,
,,1.0,,,,,,,,,,,SEGA 32X,Germany,
,,,,,,,,,,,,,SEGA 32X,Japan,
,,,,,,,,,,,,,SEGA CD,Germany,
,,1.0,,,,,,,,,,,SEGA CD,Japan,
,,,,,,,,,,,,,SEGA Master System,Germany,
,,,,,,,,,,,,,SEGA Master System,Japan,
,,,,,,,,,,,,,SEGA Pico,Germany,
,,,2.0,,,2.0,,2.0,,1.0,,,SEGA Pico,Japan,
,,,1.0,,,,,,,,,,SEGA Saturn,Germany,
4.0,,,1.0,,,,,,,,,,SEGA Saturn,Japan,
,,,,,,,,,,,,,SG-1000,Germany,
,,,,,,,,,,,,,SG-1000,Japan,
,,,,,,,,,,,,,SNES,Germany,
4.0,1.0,2.0,,1.0,,,2.0,1.0,2.0,,,,SNES,Japan,
,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany,
,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan,
,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany,
,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan,
,,,,,,,,,,,,,Sharp X1,Germany,
,,,1.0,,,,,,,,,,Sharp X1,Japan,
,,,,,,,,,,,,,Sharp X68000,Germany,
,,2.0,,,,,1.0,,1.0,,,,Sharp X68000,Japan,
,,,,,,,,,,,,,Sharp Zaurus,Germany,
,,,,,,,,,,,,,Sharp Zaurus,Japan,
,,,,,,,,,,,,,Sinclair QL,Germany,
,,,,,,,,,,,,,Sinclair QL,Japan,
,,,,,,,,,,,,,Sord M5,Germany,
,,,,,,1.0,,,,,,,Sord M5,Japan,
,,,,,,,,,,,,,Spectravideo,Germany,
,,,,,,,,,,,,,Spectravideo,Japan,
,,,,,,,,,,,,,SuperGrafx,Germany,
,,,,,,,,,,,,,SuperGrafx,Japan,
,,,,,,,,,,,,,Symbian,Germany,
,,,,,,,,,,,,,Symbian,Japan,
,,,,,,,,,,,,,Tele-Spiel ES-2201,Germany,
,,,,,,,,,,,,,Tele-Spiel ES-2201,Japan,
,,,,,,,,,,,,,Tomy Tutor,Germany,
,,,,,,,,,,,,,Tomy Tutor,Japan,
,,,,,,,,,,,,,TurboGrafx CD,Germany,
,,2.0,2.0,,,3.0,1.0,2.0,,6.0,,,TurboGrafx CD,Japan,
,,,,,,,,,,,,,TurboGrafx-16,Germany,
,,,,,,,,,,,,,TurboGrafx-16,Japan,
,,,1.0,,,1.0,1.0,,,3.0,1.0,,V.Smile,Germany,
,,,,,,,,,,,,,V.Smile,Japan,
,,,,,,,,,,,,,VIC-20,Germany,
,,,,,,,,,,,,,VIC-20,Japan,
,,,,,,,,,,,,,Vectrex,Germany,
,,,,,,,,,,,,,Vectrex,Japan,
,,,,,,,,,,,,,Virtual Boy,Germany,
,,,,,,,,,,,,,Virtual Boy,Japan,
,,,,,,,,,,,,,Wang 2200,Germany,
