Golf,Football (European) / Soccer,Basketball,Surfing,Olympiad / Mixed Sports,Wrestling,Football (American),Hockey,Snowboarding / Skiing,Boxing,Baseball,Pool / Snooker,Tennis,Rugby,Volleyball,Bowling,Dodgeball,Fishing,Horse / Derby,Ping Pong / Table Tennis,Racquetball / Squash,Darts / Target Shooting,Sailing / Boating,Athletics,Skateboarding,Wakeboarding,Paintball,platform,country,Cricket
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomy Tutor,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomy Tutor,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx CD,Germany,
5.0,5.0,,,,3.0,,,,1.0,5.0,,2.0,,,,,1.0,,,,,,,,,,TurboGrafx CD,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,TurboGrafx-16,Germany,
4.0,3.0,2.0,,1.0,5.0,1.0,2.0,,2.0,3.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,TurboGrafx-16,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,V.Smile,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC-20,Japan,
,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Vectrex,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vectrex,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Virtual Boy,Germany,
1.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,Virtual Boy,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wang 2200,Japan,
5.0,11.0,5.0,2.0,10.0,4.0,3.0,2.0,10.0,2.0,6.0,2.0,5.0,1.0,2.0,2.0,,1.0,,2.0,1.0,,1.0,,3.0,,,Wii,Germany,2.0
7.0,13.0,4.0,,3.0,6.0,1.0,6.0,6.0,4.0,9.0,2.0,6.0,,4.0,4.0,3.0,2.0,2.0,5.0,,,2.0,,2.0,1.0,,Wii,Japan,
,3.0,1.0,,2.0,1.0,,2.0,2.0,3.0,,,1.0,1.0,2.0,,,1.0,2.0,,,,2.0,1.0,,,,Wii U,Germany,
4.0,4.0,1.0,,4.0,1.0,,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,Wii U,Japan,
32.0,161.0,20.0,4.0,18.0,2.0,15.0,26.0,47.0,7.0,5.0,19.0,26.0,,3.0,5.0,,8.0,23.0,4.0,,3.0,9.0,1.0,10.0,1.0,2.0,Windows,Germany,1.0
3.0,2.0,,,,,,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,Windows,Japan,
2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 3.x,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 3.x,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Mobile,Germany,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Mobile,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WonderSwan,Germany,
1.0,1.0,,,,2.0,,,,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,WonderSwan,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WonderSwan Color,Germany,
1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,WonderSwan Color,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,XaviXPORT,Germany,
,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,XaviXPORT,Japan,
4.0,16.0,7.0,2.0,,5.0,7.0,6.0,4.0,1.0,,1.0,4.0,1.0,1.0,1.0,,,,,,,1.0,,7.0,,1.0,Xbox,Germany,
2.0,1.0,4.0,,1.0,3.0,1.0,,5.0,2.0,2.0,,1.0,,3.0,1.0,,1.0,,,,,,,1.0,1.0,,Xbox,Japan,
4.0,15.0,4.0,,4.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,4.0,,1.0,Xbox 360,Germany,
,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,,1.0,Xbox 360,Japan,
,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Xbox One,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Xbox One,Japan,
,14.0,,,3.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,5.0,,,ZX Spectrum,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ZX Spectrum,Japan,
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,iPad,Germany,
,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,iPad,Japan,
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,iPhone,Germany,
,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,iPhone,Japan,
