Story / Mission,Map / Level,Other,Item,Enemy,Player Unit,Game Mode,Extras,Customization / Outfit / Skin,Currency,platform,country
17.0,5.0,19.0,51.0,1.0,22.0,,,130.0,1.0,Nintendo Switch,Japan
,,,,,,,,,,Odyssey,Germany
,,,,,,,,,,Odyssey,Japan
,,,,,,,,,,Odyssey 2,Germany
,,,,,,,,,,Odyssey 2,Japan
,,,,,,,,,,PC Booter,Germany
,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,PC-6001,Germany
,,,,,,,,,,PC-6001,Japan
,,,,,,,,,,PC-8000,Germany
,,,,,,,,,,PC-8000,Japan
,,,,,,,,,,PC-88,Germany
1.0,,,,,,,,,,PC-88,Japan
,,,,,,,,,,PC-98,Germany
5.0,3.0,1.0,,,2.0,,2.0,,,PC-98,Japan
,,,,,,,,,,PC-FX,Germany
,,,,,,,,,,PC-FX,Japan
2.0,,,2.0,,3.0,,,2.0,,PS Vita,Germany
19.0,10.0,37.0,45.0,,31.0,,,108.0,,PS Vita,Japan
,,,,,,,,,,PSP,Germany
,,2.0,,,,,,4.0,,PSP,Japan
,,,,,,,,,,Palm OS,Germany
,,,,,,,,,,Palm OS,Japan
,,,,,,,,,,Pippin,Germany
,,,,,,,,,,Pippin,Japan
1.0,,,,,,,,,,PlayStation,Germany
,4.0,,,,,,,,,PlayStation,Japan
1.0,,1.0,1.0,1.0,,,,1.0,,PlayStation 2,Germany
4.0,2.0,6.0,2.0,3.0,1.0,1.0,,,,PlayStation 2,Japan
9.0,4.0,10.0,14.0,3.0,4.0,,,15.0,,PlayStation 3,Germany
7.0,1.0,15.0,18.0,3.0,2.0,,,16.0,,PlayStation 3,Japan
7.0,5.0,15.0,22.0,4.0,11.0,,4.0,15.0,8.0,PlayStation 4,Germany
32.0,11.0,61.0,70.0,4.0,45.0,2.0,1.0,174.0,3.0,PlayStation 4,Japan
,,,,,,,,,,Playdia,Germany
,,,,,,,,,,Playdia,Japan
,,,,,,,,,,Pokémon Mini,Germany
,,,,,,,,,,Pokémon Mini,Japan
,,,,,,,,,,SEGA 32X,Germany
,,,,,,,,,,SEGA 32X,Japan
,,,,,,,,,,SEGA CD,Germany
,,,,,,,,,,SEGA CD,Japan
,,,,,,,,,,SEGA Master System,Germany
,,,,,,,,,,SEGA Master System,Japan
,,,,,,,,,,SEGA Pico,Germany
,,,,,,,,,,SEGA Pico,Japan
,,,,,,,,,,SEGA Saturn,Germany
,,,,,,,,,,SEGA Saturn,Japan
,,,,,,,,,,SG-1000,Germany
,,,,,,,,,,SG-1000,Japan
,,,,,,,,,,SNES,Germany
,,,,,,,,,,SNES,Japan
,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany
,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan
,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany
,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,,,Sharp X1,Germany
1.0,,,,,,,,,,Sharp X1,Japan
,,,,,,,,,,Sharp X68000,Germany
3.0,4.0,1.0,,,,,2.0,,,Sharp X68000,Japan
,,,,,,,,,,Sharp Zaurus,Germany
,,,,,,,,,,Sharp Zaurus,Japan
,,,,,,,,,,Sinclair QL,Germany
,,,,,,,,,,Sinclair QL,Japan
,,,,,,,,,,Sord M5,Germany
,,,,,,,,,,Sord M5,Japan
,,,,,,,,,,Spectravideo,Germany
,,,,,,,,,,Spectravideo,Japan
,,,,,,,,,,SuperGrafx,Germany
,,,,,,,,,,SuperGrafx,Japan
,,,,,,,,,,Symbian,Germany
,,,,,,,,,,Symbian,Japan
,,,,,,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,,,Tomy Tutor,Germany
,,,,,,,,,,Tomy Tutor,Japan
