Tank,Street Racing,Automobile,Track Racing,Mecha / Giant Robot,Flight / Aviation,Naval / Watercraft,Helicopter,Train,Space Flight,Motorcycle,Off-roading,Hovercraft,Truck,Bike / Bicycling,Transport,Agricultural / Industrial,Bus,platform,country,Self-propelled Artillery
,,,,,,,1.0,,,,,,,,,,,Casio PV-1000,Japan,
3.0,,3.0,,,3.0,3.0,,,4.0,,,,,,,,,Channel F,Germany,
,,,,,,,,,,,,,,,,,,Channel F,Japan,
,,,,,,,,,1.0,,,,,,,,,ColecoVision,Germany,
,,,,,,,,,,,,,,,,,,ColecoVision,Japan,
,,2.0,2.0,,,1.0,2.0,,,,,,,1.0,,,,"Commodore 16, Plus/4",Germany,
,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan,
6.0,9.0,28.0,13.0,2.0,15.0,8.0,14.0,1.0,9.0,4.0,5.0,,,8.0,,,,Commodore 64,Germany,
,,,,,,,,,,,,,,,,,,Commodore 64,Japan,
,,,,,,,,,,,,,,,,,,Commodore PET/CBM,Germany,
1.0,,1.0,,,,2.0,1.0,1.0,4.0,,,,,,,,,Commodore PET/CBM,Japan,
30.0,7.0,54.0,41.0,10.0,116.0,50.0,28.0,16.0,71.0,4.0,6.0,7.0,4.0,3.0,4.0,1.0,4.0,DOS,Germany,
,,,,2.0,1.0,,,,,,,,,,,,,DOS,Japan,
,,,,,,,,,1.0,,,,,,,,,DVD Player,Germany,
,,,,,,,,,,,,,,,,,,DVD Player,Japan,
3.0,,3.0,,,1.0,,,,1.0,3.0,,,,,,,,Dedicated console,Germany,
1.0,,2.0,,,1.0,,,,2.0,2.0,,,,1.0,,,,Dedicated console,Japan,
,,,,,,,,,,,,,,,,,,Dedicated handheld,Germany,
,,,,,,4.0,1.0,,,,,,2.0,,,,,Dedicated handheld,Japan,
,1.0,1.0,,,,,,,,,,,,,,,,DoJa,Germany,
,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,DoJa,Japan,
1.0,4.0,14.0,9.0,1.0,3.0,2.0,,,,,3.0,,,,,,,Dreamcast,Germany,
2.0,4.0,14.0,10.0,12.0,9.0,,4.0,1.0,,2.0,2.0,,2.0,1.0,,,,Dreamcast,Japan,
,,,,,,,,,,,,,,,,,,Electron,Germany,
,,,,,,,,,,,,,,,,,,Electron,Japan,
,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany,
,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan,
,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany,
,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan,
,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany,
,,1.0,1.0,,1.0,,,,,,,,,,,,,Epoch Super Cassette Vision,Japan,
,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,ExEn,Germany,
,,,,,,,,,,,,,,,,,,ExEn,Japan,
,,,,,,,,,,,,,,,,,,FM Towns,Germany,
1.0,1.0,3.0,,8.0,11.0,4.0,2.0,3.0,6.0,,1.0,,,,,,,FM Towns,Japan,
,,,,,,,,,,,,,,,,,,FM-7,Germany,
1.0,,1.0,1.0,7.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,FM-7,Japan,
,,,,,,,,,,,,,,,,,,Fire OS,Germany,
,,,,,,,,,,,,,,,,,,Fire OS,Japan,
1.0,,1.0,,,,,,,,1.0,,,,,,,,GIMINI,Germany,
,,1.0,,,,,,,,1.0,,,,,,,,GIMINI,Japan,
,,1.0,1.0,,,,1.0,,4.0,,,,,,,,,Game Boy,Germany,
5.0,,6.0,7.0,4.0,,4.0,1.0,,3.0,2.0,,,,,,,,Game Boy,Japan,
1.0,1.0,4.0,3.0,,2.0,1.0,2.0,,,1.0,2.0,,,1.0,,,,Game Boy Advance,Germany,
,,7.0,9.0,4.0,2.0,,2.0,,,2.0,2.0,3.0,,,,,,Game Boy Advance,Japan,
2.0,1.0,7.0,3.0,,,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,Game Boy Color,Germany,
