Street Racing,Automobile,Mecha / Giant Robot,Train,Space Flight,Flight / Aviation,Helicopter,Track Racing,Naval / Watercraft,Motorcycle,Tank,Off-roading,Hovercraft,Bike / Bicycling,Truck,Transport,Bus,Agricultural / Industrial,platform,country,Self-propelled Artillery
2.0,17.0,,,4.0,7.0,2.0,14.0,,2.0,1.0,6.0,3.0,,,,,,Nintendo 64,Germany,
1.0,10.0,5.0,1.0,2.0,5.0,3.0,9.0,1.0,1.0,,3.0,2.0,,,,,,Nintendo 64,Japan,
4.0,6.0,2.0,,,3.0,,2.0,1.0,,,,,1.0,,,,,Nintendo DS,Germany,
2.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,Nintendo DS,Japan,
,,,,,,,,,,,,,,,,,,Nintendo DSi,Germany,
1.0,2.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,Nintendo DSi,Japan,
1.0,10.0,4.0,1.0,9.0,10.0,1.0,8.0,5.0,3.0,2.0,1.0,,1.0,,,,1.0,Nintendo Switch,Germany,1.0
2.0,12.0,7.0,2.0,6.0,13.0,2.0,8.0,6.0,3.0,4.0,2.0,1.0,1.0,,1.0,,,Nintendo Switch,Japan,
,,,,,,,,,,,,,,,,,,Odyssey,Germany,
,,,,,,,,,,,,,,,,,,Odyssey,Japan,
,,,,2.0,,,,1.0,,,,,,,,,,Odyssey 2,Germany,
,,,,,,,,,,,,,,,,,,Odyssey 2,Japan,
,,,,,,,,2.0,,,,,,,,,,PC Booter,Germany,
,,,,,,,,,,,,,,,,,,PC Booter,Japan,
,,,,,,,,,,,,,,,,,,PC-6001,Germany,
,1.0,2.0,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,,PC-6001,Japan,
,,,,,,,,,,,,,,,,,,PC-8000,Germany,
,,1.0,,,,,,,,,,,,,,,,PC-8000,Japan,
,,,,,,,,,,,,,,,,,,PC-88,Germany,
,2.0,13.0,1.0,8.0,8.0,3.0,1.0,4.0,2.0,2.0,,,,,,,,PC-88,Japan,
,,,,,,,,,,,,,,,,,,PC-98,Germany,
2.0,6.0,28.0,6.0,19.0,28.0,2.0,2.0,16.0,,8.0,1.0,,,1.0,,,,PC-98,Japan,
,,,,,,,,,,,,,,,,,,PC-FX,Germany,
,,4.0,,,1.0,,,1.0,,,,,,,,,,PC-FX,Japan,
,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,PS Vita,Germany,
,2.0,27.0,1.0,1.0,9.0,2.0,3.0,2.0,,2.0,,1.0,,,,,,PS Vita,Japan,
5.0,10.0,1.0,,,3.0,1.0,5.0,,1.0,,4.0,1.0,,,,,,PSP,Germany,
10.0,17.0,27.0,2.0,2.0,12.0,3.0,6.0,,1.0,2.0,3.0,2.0,,1.0,,,,PSP,Japan,
,,,,,,,,,,,,,,,,,,Palm OS,Germany,
,,,,,,,,,,,,,,,,,,Palm OS,Japan,
,,,,,,,,,,,,,,,,,,Pippin,Germany,
,,,,,,,,,,,,,,,,,,Pippin,Japan,
9.0,35.0,4.0,2.0,3.0,9.0,7.0,27.0,2.0,8.0,2.0,9.0,5.0,,1.0,1.0,1.0,,PlayStation,Germany,
16.0,88.0,66.0,15.0,8.0,56.0,7.0,65.0,9.0,7.0,12.0,25.0,6.0,4.0,3.0,,1.0,2.0,PlayStation,Japan,
26.0,79.0,14.0,1.0,6.0,12.0,4.0,46.0,3.0,14.0,5.0,19.0,2.0,3.0,5.0,2.0,,,PlayStation 2,Germany,
18.0,53.0,56.0,7.0,3.0,35.0,6.0,32.0,5.0,8.0,6.0,7.0,,3.0,3.0,1.0,,,PlayStation 2,Japan,
13.0,42.0,6.0,1.0,2.0,17.0,14.0,20.0,5.0,8.0,9.0,11.0,2.0,,,,,,PlayStation 3,Germany,
2.0,18.0,41.0,2.0,1.0,19.0,9.0,11.0,2.0,5.0,7.0,5.0,2.0,,1.0,,,,PlayStation 3,Japan,
2.0,13.0,4.0,,5.0,5.0,3.0,6.0,2.0,1.0,4.0,6.0,,,1.0,,,,PlayStation 4,Germany,
1.0,5.0,16.0,1.0,3.0,7.0,2.0,8.0,1.0,6.0,6.0,1.0,,1.0,,1.0,,1.0,PlayStation 4,Japan,
,,,,,,,,,,,,,,,,,,Playdia,Germany,
,,,,,,,,,,,,,,,,,,Playdia,Japan,
,,,,,,,,,,,,,,,,,,Pokémon Mini,Germany,
,,,,,,,,,,,,,,,,,,Pokémon Mini,Japan,
,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,SEGA 32X,Germany,
,,1.0,,1.0,1.0,,,,,,,,,,,,,SEGA 32X,Japan,
,1.0,2.0,,3.0,2.0,1.0,,,,,,,,,,,,SEGA CD,Germany,
1.0,3.0,3.0,,5.0,4.0,2.0,2.0,,,,,,,,,,,SEGA CD,Japan,
3.0,14.0,,,6.0,9.0,4.0,8.0,3.0,6.0,,2.0,,2.0,,,,,SEGA Master System,Germany,
1.0,4.0,,,4.0,4.0,1.0,2.0,,3.0,,,,1.0,,,,,SEGA Master System,Japan,
,,,,,,,,,,,,,,,,,,SEGA Pico,Germany,
,,,,,,,,,,,,,,,,,,SEGA Pico,Japan,
1.0,4.0,,,,2.0,1.0,5.0,1.0,,,1.0,1.0,,,,,,SEGA Saturn,Germany,
6.0,14.0,17.0,1.0,1.0,20.0,5.0,10.0,3.0,3.0,4.0,2.0,3.0,,,,,,SEGA Saturn,Japan,
,,1.0,,,,,,,,,,,,,,,,SG-1000,Germany,
2.0,4.0,1.0,,1.0,,1.0,4.0,2.0,3.0,1.0,1.0,,,,,,,SG-1000,Japan,
1.0,5.0,,,2.0,1.0,,5.0,1.0,,1.0,1.0,1.0,,,,,,SNES,Germany,
3.0,24.0,21.0,,9.0,18.0,5.0,25.0,6.0,6.0,3.0,2.0,2.0,,1.0,,,,SNES,Japan,
,,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany,
,,1.0,,1.0,1.0,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan,
,,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany,
,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,Sharp MZ-80K/700/800/1500,Japan,
,,,,,,,,,,,,,,,,,,Sharp X1,Germany,
,2.0,10.0,1.0,6.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,Sharp X1,Japan,
,,,,,,,,,,,,,,,,,,Sharp X68000,Germany,
1.0,3.0,8.0,2.0,10.0,11.0,5.0,1.0,3.0,2.0,3.0,,,,1.0,,,,Sharp X68000,Japan,
,,,,,,,,,,,,,,,,,,Sharp Zaurus,Germany,
,,,,,,,,,,,,,,,,,,Sharp Zaurus,Japan,
,,,,,,,,,,,,,,,,,,Sinclair QL,Germany,
,,,,,,,,,,,,,,,,,,Sinclair QL,Japan,
,,,,,,,,,,,,,,,,,,Sord M5,Germany,
,,,1.0,,,1.0,,,,2.0,,,,,,,,Sord M5,Japan,
,,,,,,,,,,,,,,,,,,Spectravideo,Germany,
,,,,,,,,,,,,,,,,,,Spectravideo,Japan,
,,,,,,,,,,,,,,,,,,SuperGrafx,Germany,
,,,,,1.0,,,,,,,,,,,,,SuperGrafx,Japan,
,,,,,,,,,,,,,,,,,,Symbian,Germany,
,,,,,,,,,,,,,,,,,,Symbian,Japan,
,1.0,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Germany,
,,,,,,,,,,,,,,,,,,Tele-Spiel ES-2201,Japan,
,,,,,,,,,,,,,,,,,,Tomy Tutor,Germany,
,,,1.0,,1.0,,,,,,,,,,,,,Tomy Tutor,Japan,
,,,,,,,,,,,,,,,,,,TurboGrafx CD,Germany,
,3.0,16.0,1.0,1.0,,,3.0,,,1.0,,,,,,,,TurboGrafx CD,Japan,
,,,,,,,,,,,,,,,,,,TurboGrafx-16,Germany,
1.0,10.0,5.0,,1.0,5.0,3.0,9.0,,3.0,,,,,,,,,TurboGrafx-16,Japan,
,,,,,,,,,,,,,,,,,,V.Smile,Germany,
,,,,,,,,,,,,,,,,,,V.Smile,Japan,
,1.0,,,,,,1.0,,,,,,,,,,,VIC-20,Germany,
,1.0,,,,,,,,,,,,,,,,,VIC-20,Japan,
,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,Vectrex,Germany,
,,,,,,,,,,,,,,,,,,Vectrex,Japan,
,,,,,,,,,,,,,,,,,,Virtual Boy,Germany,
,,1.0,,,,,,,,,,,,,,,,Virtual Boy,Japan,
,,,,,,,,,,,,,,,,,,Wang 2200,Germany,
,,,,,,,,,,,,,,,,,,Wang 2200,Japan,
2.0,16.0,4.0,,4.0,3.0,,7.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,Wii,Germany,
,9.0,17.0,1.0,7.0,13.0,3.0,7.0,6.0,6.0,6.0,1.0,3.0,1.0,,,,,Wii,Japan,
,2.0,2.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,Wii U,Germany,
,4.0,5.0,,4.0,5.0,3.0,7.0,,1.0,5.0,,4.0,,,,,,Wii U,Japan,
69.0,311.0,48.0,97.0,86.0,237.0,94.0,169.0,90.0,48.0,101.0,88.0,5.0,18.0,42.0,35.0,14.0,13.0,Windows,Germany,2.0
1.0,16.0,28.0,10.0,2.0,23.0,10.0,11.0,5.0,5.0,8.0,9.0,,1.0,,,,1.0,Windows,Japan,
,5.0,1.0,,2.0,5.0,,4.0,2.0,,,,,,,,,,Windows 3.x,Germany,
,,,1.0,,,,,,,,,,,,,,,Windows 3.x,Japan,
,,,,,,,,,,,,,,,,,,Windows Mobile,Germany,
,,,,,,,,,,,,,,,,,,Windows Mobile,Japan,
,,2.0,,,,,,,,1.0,,,,,,,,Windows Phone,Germany,
,,,,,,,,,,,,,,,,,,Windows Phone,Japan,
,,,,,,,,,,,,,,,,,,WonderSwan,Germany,
,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,WonderSwan,Japan,
,,,,,,,,,,,,,,,,,,WonderSwan Color,Germany,
,,3.0,,,1.0,,,,,,,,,,,,,WonderSwan Color,Japan,
