Adventure,Action,Racing / Driving,Sports,Puzzle,Strategy/Tactics,Educational,Simulation,Role-Playing (RPG),Compilation,Special Edition,DLC / Add-on,platform,country
,27.0,3.0,8.0,8.0,16.0,6.0,,,13.0,,,Channel F,Germany
,1.0,,1.0,,,,,,1.0,,,Channel F,Japan
,6.0,,,,1.0,1.0,,,,,,ColecoVision,Germany
,,,,,,,,,,,,ColecoVision,Japan
4.0,53.0,2.0,3.0,4.0,3.0,1.0,2.0,,18.0,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
42.0,510.0,45.0,91.0,44.0,69.0,4.0,53.0,17.0,56.0,1.0,,Commodore 64,Germany
,2.0,,,,,,,,,,,Commodore 64,Japan
,,,,,2.0,,,,,,,Commodore PET/CBM,Germany
1.0,37.0,4.0,5.0,18.0,24.0,10.0,11.0,1.0,,,,Commodore PET/CBM,Japan
372.0,654.0,87.0,175.0,94.0,442.0,22.0,447.0,156.0,326.0,17.0,123.0,DOS,Germany
2.0,11.0,,,4.0,2.0,,3.0,3.0,3.0,,1.0,DOS,Japan
1.0,,,1.0,2.0,1.0,1.0,,,,1.0,,DVD Player,Germany
4.0,,,,,,,,,,,,DVD Player,Japan
,132.0,6.0,131.0,,,,,,4.0,,,Dedicated console,Germany
,86.0,4.0,77.0,,1.0,,,,5.0,,,Dedicated console,Japan
,3.0,,,,,,,,,,,Dedicated handheld,Germany
,37.0,,3.0,,1.0,1.0,6.0,,1.0,,,Dedicated handheld,Japan
,7.0,1.0,,,2.0,,,,,,,DoJa,Germany
,47.0,4.0,7.0,4.0,5.0,,13.0,17.0,,,11.0,DoJa,Japan
4.0,50.0,25.0,11.0,6.0,3.0,,11.0,7.0,1.0,,,Dreamcast,Germany
70.0,135.0,24.0,25.0,14.0,17.0,,31.0,31.0,4.0,9.0,2.0,Dreamcast,Japan
,1.0,,,,,,,,1.0,,,Electron,Germany
,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,Epoch Cassette Vision,Germany
,1.0,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,1.0,,,1.0,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
,6.0,1.0,,,,,,,,,,Epoch Super Cassette Vision,Japan
,28.0,4.0,5.0,5.0,4.0,,1.0,,,,,ExEn,Germany
,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,FM Towns,Germany
186.0,76.0,5.0,14.0,23.0,96.0,13.0,48.0,98.0,24.0,,5.0,FM Towns,Japan
,,,,,,,,,,,,FM-7,Germany
72.0,89.0,4.0,4.0,14.0,29.0,,19.0,39.0,,,4.0,FM-7,Japan
,1.0,,,1.0,,,,1.0,,,,Fire OS,Germany
,,,,,,,,,,,,Fire OS,Japan
,13.0,2.0,10.0,,,,,,,,,GIMINI,Germany
,7.0,2.0,5.0,,,,,,,,,GIMINI,Japan
,66.0,4.0,13.0,5.0,5.0,,1.0,2.0,1.0,,,Game Boy,Germany
2.0,205.0,12.0,41.0,54.0,21.0,,7.0,34.0,12.0,,,Game Boy,Japan
,104.0,16.0,13.0,6.0,8.0,,13.0,22.0,21.0,,,Game Boy Advance,Germany
15.0,198.0,17.0,24.0,27.0,38.0,5.0,16.0,95.0,24.0,2.0,,Game Boy Advance,Japan
4.0,68.0,11.0,25.0,6.0,2.0,1.0,4.0,8.0,1.0,,,Game Boy Color,Germany
8.0,49.0,5.0,9.0,15.0,10.0,2.0,6.0,38.0,5.0,,2.0,Game Boy Color,Japan
,76.0,5.0,8.0,7.0,1.0,,2.0,1.0,,,,Game Gear,Germany
1.0,96.0,9.0,21.0,21.0,11.0,,3.0,16.0,,,,Game Gear,Japan
2.0,144.0,31.0,45.0,5.0,12.0,,13.0,17.0,5.0,1.0,,GameCube,Germany
4.0,124.0,13.0,26.0,15.0,13.0,,16.0,21.0,5.0,1.0,1.0,GameCube,Japan
,125.0,9.0,26.0,3.0,4.0,,7.0,10.0,5.0,,,Genesis,Germany
14.0,271.0,21.0,71.0,23.0,57.0,1.0,26.0,30.0,2.0,1.0,,Genesis,Japan
,5.0,,4.0,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,Ideal-Computer,Japan
,2.0,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,Intellivision,Japan
,5.0,,4.0,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,Interton Video 2000,Japan
,35.0,5.0,12.0,8.0,10.0,,3.0,5.0,,,,J2ME,Germany
,7.0,2.0,1.0,2.0,3.0,,2.0,14.0,,,11.0,J2ME,Japan
,4.0,,1.0,1.0,,,,,,,,Jaguar,Germany
,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,LaserActive,Germany
6.0,10.0,2.0,,4.0,,10.0,6.0,,,,,LaserActive,Japan
12.0,15.0,2.0,1.0,4.0,19.0,2.0,12.0,5.0,9.0,10.0,1.0,Linux,Germany
,,,,,,,,,,,,Linux,Japan
,8.0,,3.0,3.0,1.0,,2.0,,,,,Lynx,Germany
,,,,,,,,,,,,Lynx,Japan
1.0,118.0,11.0,21.0,5.0,6.0,1.0,4.0,,,,1.0,MSX,Germany
94.0,287.0,12.0,40.0,31.0,53.0,3.0,35.0,92.0,18.0,,3.0,MSX,Japan
104.0,101.0,15.0,19.0,30.0,84.0,33.0,62.0,28.0,51.0,24.0,53.0,Macintosh,Germany
27.0,11.0,1.0,1.0,7.0,10.0,11.0,15.0,7.0,2.0,,,Macintosh,Japan
,1.0,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,,Microvision,Japan
,9.0,5.0,7.0,3.0,3.0,,2.0,1.0,,,,N-Gage,Germany
,1.0,,,,,,,1.0,,,,N-Gage,Japan
,31.0,1.0,5.0,1.0,,,,,,,,NES,Germany
45.0,566.0,32.0,101.0,53.0,77.0,15.0,37.0,109.0,10.0,,5.0,NES,Japan
,,,,,,,,,,,,Neo Geo,Germany
,80.0,3.0,18.0,4.0,1.0,,2.0,,,,,Neo Geo,Japan
,,,,,,,,,,,,Neo Geo CD,Germany
,34.0,1.0,13.0,2.0,3.0,,,2.0,,,,Neo Geo CD,Japan
,,,,,,,,,,,,Neo Geo Pocket,Germany
,2.0,,3.0,1.0,1.0,,2.0,,,,,Neo Geo Pocket,Japan
,6.0,,,1.0,,,,,,,,Neo Geo Pocket Color,Germany
2.0,12.0,,5.0,5.0,7.0,,2.0,7.0,2.0,,,Neo Geo Pocket Color,Japan
1.0,5.0,1.0,2.0,3.0,,,,1.0,1.0,,3.0,New Nintendo 3DS,Germany
1.0,16.0,2.0,2.0,4.0,3.0,,1.0,5.0,1.0,,,New Nintendo 3DS,Japan
4.0,57.0,5.0,7.0,20.0,7.0,2.0,4.0,21.0,1.0,13.0,5.0,Nintendo 3DS,Germany
25.0,318.0,21.0,26.0,74.0,39.0,6.0,43.0,115.0,11.0,12.0,8.0,Nintendo 3DS,Japan
1.0,72.0,34.0,27.0,4.0,5.0,,7.0,5.0,,1.0,,Nintendo 64,Germany
1.0,70.0,24.0,18.0,5.0,11.0,5.0,15.0,9.0,,,3.0,Nintendo 64,Japan
22.0,78.0,15.0,15.0,38.0,35.0,24.0,36.0,30.0,2.0,,,Nintendo DS,Germany
55.0,159.0,13.0,20.0,47.0,38.0,17.0,50.0,119.0,14.0,5.0,1.0,Nintendo DS,Japan
,3.0,,,1.0,3.0,,,2.0,,,,Nintendo DSi,Germany
1.0,32.0,3.0,2.0,14.0,6.0,3.0,1.0,,,,,Nintendo DSi,Japan
47.0,181.0,18.0,21.0,47.0,39.0,11.0,35.0,24.0,16.0,13.0,5.0,Nintendo Switch,Germany
71.0,328.0,21.0,25.0,65.0,33.0,7.0,37.0,78.0,51.0,10.0,176.0,Nintendo Switch,Japan
,,,1.0,,,,,,,,,Odyssey,Germany
,,,,,,,,,,,,Odyssey,Japan
,7.0,,5.0,3.0,3.0,,,,5.0,,,Odyssey 2,Germany
,,,,,,,,,,,,Odyssey 2,Japan
,7.0,,,,3.0,,,,,,,PC Booter,Germany
,,,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,,,PC-6001,Germany
4.0,36.0,1.0,1.0,4.0,5.0,,4.0,2.0,,,,PC-6001,Japan
,,,,,,,,,,,,PC-8000,Germany
2.0,15.0,,1.0,4.0,1.0,,,1.0,,,,PC-8000,Japan
,,,,,,,,,,,,PC-88,Germany
138.0,174.0,8.0,14.0,28.0,62.0,1.0,32.0,113.0,,,4.0,PC-88,Japan
,,,,,,,,,,,,PC-98,Germany
