Action,Role-Playing (RPG),Simulation,Adventure,Racing / Driving,Sports,Puzzle,Compilation,Strategy/Tactics,DLC / Add-on,Special Edition,Educational,platform,country
27.0,,,,3.0,8.0,8.0,13.0,16.0,,,6.0,Channel F,Germany
1.0,,,,,1.0,,1.0,,,,,Channel F,Japan
6.0,,,,,,,,1.0,,,1.0,ColecoVision,Germany
,,,,,,,,,,,,ColecoVision,Japan
53.0,,2.0,4.0,2.0,3.0,4.0,18.0,3.0,,,1.0,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
510.0,17.0,53.0,42.0,45.0,91.0,44.0,56.0,69.0,,1.0,4.0,Commodore 64,Germany
2.0,,,,,,,,,,,,Commodore 64,Japan
,,,,,,,,2.0,,,,Commodore PET/CBM,Germany
37.0,1.0,11.0,1.0,4.0,5.0,18.0,,24.0,,,10.0,Commodore PET/CBM,Japan
654.0,156.0,447.0,372.0,87.0,175.0,94.0,326.0,442.0,123.0,17.0,22.0,DOS,Germany
11.0,3.0,3.0,2.0,,,4.0,3.0,2.0,1.0,,,DOS,Japan
,,,1.0,,1.0,2.0,,1.0,,1.0,1.0,DVD Player,Germany
,,,4.0,,,,,,,,,DVD Player,Japan
132.0,,,,6.0,131.0,,4.0,,,,,Dedicated console,Germany
86.0,,,,4.0,77.0,,5.0,1.0,,,,Dedicated console,Japan
3.0,,,,,,,,,,,,Dedicated handheld,Germany
37.0,,6.0,,,3.0,,1.0,1.0,,,1.0,Dedicated handheld,Japan
7.0,,,,1.0,,,,2.0,,,,DoJa,Germany
47.0,17.0,13.0,,4.0,7.0,4.0,,5.0,11.0,,,DoJa,Japan
50.0,7.0,11.0,4.0,25.0,11.0,6.0,1.0,3.0,,,,Dreamcast,Germany
135.0,31.0,31.0,70.0,24.0,25.0,14.0,4.0,17.0,2.0,9.0,,Dreamcast,Japan
1.0,,,,,,,1.0,,,,,Electron,Germany
,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,Epoch Cassette Vision,Germany
1.0,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
1.0,,,,,,1.0,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
6.0,,,,1.0,,,,,,,,Epoch Super Cassette Vision,Japan
28.0,,1.0,,4.0,5.0,5.0,,4.0,,,,ExEn,Germany
,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,FM Towns,Germany
76.0,98.0,48.0,186.0,5.0,14.0,23.0,24.0,96.0,5.0,,13.0,FM Towns,Japan
,,,,,,,,,,,,FM-7,Germany
89.0,39.0,19.0,72.0,4.0,4.0,14.0,,29.0,4.0,,,FM-7,Japan
1.0,1.0,,,,,1.0,,,,,,Fire OS,Germany
,,,,,,,,,,,,Fire OS,Japan
13.0,,,,2.0,10.0,,,,,,,GIMINI,Germany
7.0,,,,2.0,5.0,,,,,,,GIMINI,Japan
66.0,2.0,1.0,,4.0,13.0,5.0,1.0,5.0,,,,Game Boy,Germany
205.0,34.0,7.0,2.0,12.0,41.0,54.0,12.0,21.0,,,,Game Boy,Japan
104.0,22.0,13.0,,16.0,13.0,6.0,21.0,8.0,,,,Game Boy Advance,Germany
198.0,95.0,16.0,15.0,17.0,24.0,27.0,24.0,38.0,,2.0,5.0,Game Boy Advance,Japan
68.0,8.0,4.0,4.0,11.0,25.0,6.0,1.0,2.0,,,1.0,Game Boy Color,Germany
49.0,38.0,6.0,8.0,5.0,9.0,15.0,5.0,10.0,2.0,,2.0,Game Boy Color,Japan
76.0,1.0,2.0,,5.0,8.0,7.0,,1.0,,,,Game Gear,Germany
96.0,16.0,3.0,1.0,9.0,21.0,21.0,,11.0,,,,Game Gear,Japan
144.0,17.0,13.0,2.0,31.0,45.0,5.0,5.0,12.0,,1.0,,GameCube,Germany
124.0,21.0,16.0,4.0,13.0,26.0,15.0,5.0,13.0,1.0,1.0,,GameCube,Japan
125.0,10.0,7.0,,9.0,26.0,3.0,5.0,4.0,,,,Genesis,Germany
271.0,30.0,26.0,14.0,21.0,71.0,23.0,2.0,57.0,,1.0,1.0,Genesis,Japan
5.0,,,,,4.0,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,Ideal-Computer,Japan
2.0,,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,Intellivision,Japan
5.0,,,,,4.0,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,Interton Video 2000,Japan
35.0,5.0,3.0,,5.0,12.0,8.0,,10.0,,,,J2ME,Germany
7.0,14.0,2.0,,2.0,1.0,2.0,,3.0,11.0,,,J2ME,Japan
4.0,,,,,1.0,1.0,,,,,,Jaguar,Germany
,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,LaserActive,Germany
10.0,,6.0,6.0,2.0,,4.0,,,,,10.0,LaserActive,Japan
15.0,5.0,12.0,12.0,2.0,1.0,4.0,9.0,19.0,1.0,10.0,2.0,Linux,Germany
,,,,,,,,,,,,Linux,Japan
8.0,,2.0,,,3.0,3.0,,1.0,,,,Lynx,Germany
,,,,,,,,,,,,Lynx,Japan
118.0,,4.0,1.0,11.0,21.0,5.0,,6.0,1.0,,1.0,MSX,Germany
287.0,92.0,35.0,94.0,12.0,40.0,31.0,18.0,53.0,3.0,,3.0,MSX,Japan
101.0,28.0,62.0,104.0,15.0,19.0,30.0,51.0,84.0,53.0,24.0,33.0,Macintosh,Germany
11.0,7.0,15.0,27.0,1.0,1.0,7.0,2.0,10.0,,,11.0,Macintosh,Japan
