1st-person,Side view,Behind view,3rd-person (Other),Top-down,Bird's-eye view,Text-based / Spreadsheet,Audio game,platform,country
28.0,9.0,1.0,7.0,9.0,3.0,3.0,,Macintosh,Japan
,,,,,,,,Microvision,Germany
,,,,,,,,Microvision,Japan
4.0,5.0,10.0,1.0,3.0,5.0,,,N-Gage,Germany
,,,,,1.0,,,N-Gage,Japan
,28.0,1.0,,1.0,5.0,,,NES,Germany
116.0,400.0,47.0,6.0,281.0,98.0,,,NES,Japan
,,,,,,,,Neo Geo,Germany
4.0,73.0,4.0,,13.0,12.0,,,Neo Geo,Japan
,,,,,,,,Neo Geo CD,Germany
5.0,29.0,3.0,,10.0,9.0,,,Neo Geo CD,Japan
,,,,,,,,Neo Geo Pocket,Germany
1.0,2.0,,,4.0,,,,Neo Geo Pocket,Japan
,4.0,,,1.0,,,,Neo Geo Pocket Color,Germany
4.0,11.0,1.0,1.0,15.0,,,,Neo Geo Pocket Color,Japan
2.0,5.0,2.0,,1.0,1.0,,,New Nintendo 3DS,Germany
,14.0,2.0,3.0,6.0,2.0,,,New Nintendo 3DS,Japan
14.0,25.0,6.0,25.0,20.0,15.0,,,Nintendo 3DS,Germany
59.0,225.0,40.0,86.0,101.0,78.0,,,Nintendo 3DS,Japan
36.0,12.0,59.0,24.0,5.0,23.0,,,Nintendo 64,Germany
27.0,21.0,44.0,30.0,8.0,18.0,1.0,,Nintendo 64,Japan
34.0,39.0,10.0,76.0,39.0,32.0,2.0,,Nintendo DS,Germany
85.0,80.0,10.0,108.0,76.0,57.0,,,Nintendo DS,Japan
1.0,,,2.0,1.0,,,,Nintendo DSi,Germany
,23.0,2.0,7.0,11.0,1.0,,,Nintendo DSi,Japan
47.0,117.0,30.0,46.0,32.0,70.0,2.0,2.0,Nintendo Switch,Germany
92.0,196.0,58.0,77.0,58.0,81.0,,,Nintendo Switch,Japan
,,,,1.0,,,,Odyssey,Germany
,,,,,,,,Odyssey,Japan
1.0,4.0,,,6.0,4.0,,,Odyssey 2,Germany
,,,,,,,,Odyssey 2,Japan
,2.0,1.0,,4.0,,,,PC Booter,Germany
,,,,,,,,PC Booter,Japan
,,,,,,,,PC-6001,Germany
6.0,18.0,2.0,,19.0,2.0,3.0,,PC-6001,Japan
,,,,,,,,PC-8000,Germany
2.0,13.0,,,6.0,,1.0,,PC-8000,Japan
,,,,,,,,PC-88,Germany
178.0,112.0,9.0,5.0,173.0,15.0,15.0,,PC-88,Japan
,,,,,,,,PC-98,Germany
714.0,94.0,16.0,35.0,416.0,37.0,12.0,,PC-98,Japan
,,,,,,,,PC-FX,Germany
29.0,2.0,,6.0,17.0,,,,PC-FX,Japan
9.0,14.0,2.0,6.0,5.0,5.0,,,PS Vita,Germany
125.0,83.0,33.0,142.0,50.0,55.0,,,PS Vita,Japan
19.0,14.0,38.0,45.0,8.0,13.0,1.0,,PSP,Germany
234.0,102.0,66.0,200.0,79.0,67.0,2.0,,PSP,Japan
,,,,,,,,Palm OS,Germany
,1.0,,,3.0,,,,Palm OS,Japan
,,,,,,,,Pippin,Germany
6.0,,,1.0,,,,,Pippin,Japan
92.0,60.0,92.0,127.0,27.0,54.0,1.0,,PlayStation,Germany
482.0,338.0,230.0,462.0,243.0,163.0,4.0,,PlayStation,Japan
218.0,45.0,287.0,292.0,22.0,85.0,1.0,,PlayStation 2,Germany
412.0,159.0,203.0,581.0,93.0,88.0,1.0,,PlayStation 2,Japan
136.0,29.0,176.0,126.0,17.0,36.0,,,PlayStation 3,Germany
149.0,83.0,99.0,195.0,54.0,45.0,2.0,,PlayStation 3,Japan
68.0,33.0,52.0,32.0,8.0,13.0,,2.0,PlayStation 4,Germany
98.0,118.0,62.0,107.0,42.0,55.0,1.0,1.0,PlayStation 4,Japan
,,,,,,,,Playdia,Germany
,,,,,,,,Playdia,Japan
,,,,,,,,Pokémon Mini,Germany
1.0,3.0,,2.0,4.0,,,,Pokémon Mini,Japan
6.0,4.0,7.0,1.0,,1.0,,,SEGA 32X,Germany
5.0,5.0,7.0,2.0,2.0,1.0,,,SEGA 32X,Japan
19.0,17.0,5.0,1.0,7.0,2.0,,,SEGA CD,Germany
38.0,23.0,9.0,14.0,19.0,10.0,,,SEGA CD,Japan
24.0,121.0,25.0,,38.0,23.0,,,SEGA Master System,Germany
7.0,33.0,9.0,,19.0,12.0,,,SEGA Master System,Japan
,,,,,,,,SEGA Pico,Germany
1.0,1.0,,,,,,,SEGA Pico,Japan
18.0,10.0,9.0,6.0,4.0,5.0,,,SEGA Saturn,Germany
173.0,155.0,52.0,97.0,94.0,43.0,,1.0,SEGA Saturn,Japan
,1.0,,,,,,,SG-1000,Germany
3.0,29.0,10.0,4.0,29.0,8.0,,,SG-1000,Japan
6.0,45.0,9.0,1.0,14.0,15.0,,,SNES,Germany
91.0,332.0,64.0,43.0,224.0,107.0,,,SNES,Japan
,,,,,,,,Sharp MZ-80B/2000/2500,Germany
1.0,4.0,1.0,,9.0,1.0,1.0,,Sharp MZ-80B/2000/2500,Japan
,,,,1.0,,,,Sharp MZ-80K/700/800/1500,Germany
1.0,10.0,1.0,,10.0,,1.0,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,Sharp X1,Germany
53.0,72.0,5.0,2.0,90.0,5.0,1.0,,Sharp X1,Japan
,,,,,,,,Sharp X68000,Germany
177.0,74.0,12.0,6.0,141.0,16.0,,,Sharp X68000,Japan
,,,,,,,,Sharp Zaurus,Germany
,4.0,,,4.0,,,,Sharp Zaurus,Japan
,,,,1.0,,,,Sinclair QL,Germany
,,,,,,,,Sinclair QL,Japan
,,,,,,,,Sord M5,Germany
1.0,8.0,,,7.0,,,,Sord M5,Japan
,1.0,,,,,,,Spectravideo,Germany
,,,,,,,,Spectravideo,Japan
,,,,,,,,SuperGrafx,Germany
1.0,5.0,,,1.0,,,,SuperGrafx,Japan
,,,,,1.0,,,Symbian,Germany
,,,,,,,,Symbian,Japan
,,,,5.0,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,Tomy Tutor,Germany
,7.0,,,4.0,,,,Tomy Tutor,Japan
,,,,,,,,TurboGrafx CD,Germany
120.0,101.0,3.0,14.0,149.0,17.0,,,TurboGrafx CD,Japan
,,,,,,,,TurboGrafx-16,Germany
20.0,96.0,16.0,11.0,78.0,17.0,,,TurboGrafx-16,Japan
,1.0,,1.0,,,,,V.Smile,Germany
,,,,,,,,V.Smile,Japan
,3.0,1.0,,,,,,VIC-20,Germany
,1.0,,,2.0,,,,VIC-20,Japan
2.0,4.0,1.0,,11.0,,,,Vectrex,Germany
,,,,,,,,Vectrex,Japan
,,,,,,,,Virtual Boy,Germany
4.0,3.0,2.0,3.0,2.0,,,,Virtual Boy,Japan
,1.0,,,,,,,Wang 2200,Germany
,,,,,,,,Wang 2200,Japan
54.0,106.0,68.0,111.0,30.0,30.0,1.0,2.0,Wii,Germany
61.0,307.0,61.0,106.0,150.0,74.0,3.0,,Wii,Japan
9.0,41.0,11.0,26.0,14.0,19.0,,,Wii U,Germany
28.0,158.0,25.0,51.0,93.0,38.0,,,Wii U,Japan
1950.0,332.0,1112.0,1548.0,560.0,1202.0,40.0,,Windows,Germany
338.0,114.0,64.0,161.0,146.0,102.0,2.0,,Windows,Japan
55.0,16.0,1.0,32.0,44.0,11.0,2.0,,Windows 3.x,Germany
16.0,7.0,,3.0,9.0,,,,Windows 3.x,Japan
,,,,,,,,Windows Mobile,Germany
,,,,1.0,,,,Windows Mobile,Japan
,,,,3.0,,,,Windows Phone,Germany
,,,,1.0,,,,Windows Phone,Japan
,,,,,,,,WonderSwan,Germany
4.0,15.0,4.0,6.0,20.0,4.0,,,WonderSwan,Japan
,,,,,,,,WonderSwan Color,Germany
6.0,5.0,,3.0,15.0,3.0,,,WonderSwan Color,Japan
,,,,,,,,XaviXPORT,Germany
3.0,,,,,,,,XaviXPORT,Japan
112.0,10.0,130.0,95.0,9.0,41.0,,,Xbox,Germany
58.0,20.0,59.0,88.0,7.0,12.0,,,Xbox,Japan
133.0,85.0,188.0,114.0,46.0,42.0,,,Xbox 360,Germany
57.0,87.0,75.0,81.0,63.0,20.0,,,Xbox 360,Japan
11.0,3.0,15.0,7.0,,3.0,,,Xbox One,Germany
11.0,7.0,7.0,10.0,2.0,,,,Xbox One,Japan
29.0,126.0,20.0,3.0,69.0,22.0,1.0,,ZX Spectrum,Germany
,,,,,,,,ZX Spectrum,Japan
2.0,1.0,2.0,,4.0,3.0,,,iPad,Germany
28.0,9.0,2.0,14.0,13.0,13.0,,,iPad,Japan
4.0,1.0,2.0,2.0,4.0,3.0,,,iPhone,Germany
38.0,14.0,2.0,15.0,17.0,14.0,,,iPhone,Japan
