Anime / Manga,Full Motion Video (FMV),Video backdrop,Live action,Augmented reality,platform,country
184.0,3.0,,4.0,,PlayStation 4,Japan
,,,,,Playdia,Germany
1.0,,,,,Playdia,Japan
,,,,,Pokémon Mini,Germany
9.0,,,,,Pokémon Mini,Japan
,1.0,1.0,,,SEGA 32X,Germany
,,,,,SEGA 32X,Japan
7.0,7.0,9.0,,,SEGA CD,Germany
38.0,9.0,10.0,,,SEGA CD,Japan
10.0,,,,,SEGA Master System,Germany
7.0,,,,,SEGA Master System,Japan
,,,,,SEGA Pico,Germany
3.0,,,,,SEGA Pico,Japan
4.0,1.0,,,,SEGA Saturn,Germany
228.0,24.0,6.0,5.0,,SEGA Saturn,Japan
1.0,,,,,SG-1000,Germany
1.0,,,,,SG-1000,Japan
6.0,,,,,SNES,Germany
197.0,2.0,,,,SNES,Japan
,,,,,Sharp MZ-80B/2000/2500,Germany
1.0,,,,,Sharp MZ-80B/2000/2500,Japan
,,,,,Sharp MZ-80K/700/800/1500,Germany
,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,Sharp X1,Germany
35.0,1.0,1.0,,,Sharp X1,Japan
,,,,,Sharp X68000,Germany
207.0,13.0,1.0,,,Sharp X68000,Japan
,,,,,Sharp Zaurus,Germany
,,,,,Sharp Zaurus,Japan
,,,,,Sinclair QL,Germany
,,,,,Sinclair QL,Japan
,,,,,Sord M5,Germany
,,,,,Sord M5,Japan
,,,,,Spectravideo,Germany
,,,,,Spectravideo,Japan
,,,,,SuperGrafx,Germany
1.0,,,,,SuperGrafx,Japan
,,,,,Symbian,Germany
,,,,,Symbian,Japan
,,,,,Tele-Spiel ES-2201,Germany
,,,,,Tele-Spiel ES-2201,Japan
,,,,,Tomy Tutor,Germany
,,,,,Tomy Tutor,Japan
,,,,,TurboGrafx CD,Germany
245.0,3.0,,,,TurboGrafx CD,Japan
,,,,,TurboGrafx-16,Germany
36.0,,,,,TurboGrafx-16,Japan
,,,,,V.Smile,Germany
,,,,,V.Smile,Japan
,,,,,VIC-20,Germany
,,,,,VIC-20,Japan
,,,,,Vectrex,Germany
,,,,,Vectrex,Japan
,,,,,Virtual Boy,Germany
1.0,,,,,Virtual Boy,Japan
,,,,,Wang 2200,Germany
,,,,,Wang 2200,Japan
27.0,,,,,Wii,Germany
163.0,,,,,Wii,Japan
9.0,,,,,Wii U,Germany
85.0,,,,,Wii U,Japan
45.0,16.0,5.0,3.0,,Windows,Germany
430.0,10.0,1.0,,,Windows,Japan
1.0,15.0,1.0,,,Windows 3.x,Germany
17.0,4.0,,,,Windows 3.x,Japan
,,,,,Windows Mobile,Germany
,,,,,Windows Mobile,Japan
,,,,,Windows Phone,Germany
,,,,,Windows Phone,Japan
,,,,,WonderSwan,Germany
23.0,,,,,WonderSwan,Japan
,,,,,WonderSwan Color,Germany
24.0,,,,,WonderSwan Color,Japan
,,,,,XaviXPORT,Germany
,,,,,XaviXPORT,Japan
9.0,,,,,Xbox,Germany
32.0,2.0,,,,Xbox,Japan
28.0,,,,,Xbox 360,Germany
79.0,,,,,Xbox 360,Japan
1.0,,,,,Xbox One,Germany
18.0,,,,,Xbox One,Japan
2.0,,,,,ZX Spectrum,Germany
,,,,,ZX Spectrum,Japan
3.0,,,,2.0,iPad,Germany
55.0,2.0,,,,iPad,Japan
4.0,,,,2.0,iPhone,Germany
66.0,2.0,,,1.0,iPhone,Japan
