Shooter,Arcade,Japanese-style RPG (JRPG),Roguelike,Managerial / Business Simulation,Tricks / Stunts,Platform,Falling Block Puzzle,Tile Matching Puzzle,Paddle / Pong,Vehicle Simulator,Music / Rhythm,Puzzle elements,Metroidvania,Life / Social Simulation,Fighting,Martial Arts,Survival Horror,Pinball,Mental training,Tactical RPG,Casino / Gambling,Cards / Tiles,Board Game,Chess,RPG elements,Stealth,Mini-Games,Party Game,Beat 'em up / Brawler,Hack and Slash,Action RPG,Visual Novel,Trading / Collectible Card,Japanese-style Adventure,Interactive Fiction / Text Adventure,Wargame,Massively Multiplayer,Dating Simulation,City Building / Construction Simulation,Vehicular Combat Simulator,Quick Time Events (QTEs),4X,Tactical Shooter,Graphic Adventure,Sandbox / Open World,Rail Shooter,Artillery,Game Show / Trivia / Quiz,Word Construction,Timed Input,Hidden object,Interactive Book,Hunting,Tower Defense,Time Management,platform,country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Japan
3.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Browser,Germany
,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Browser,Japan
10.0,15.0,,,,,7.0,1.0,,,,,9.0,1.0,,2.0,,,2.0,,,,1.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,5.0,,1.0,,2.0,,,,,,CD-i,Germany
,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD-i,Japan
5.0,3.0,,,,,2.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,CDTV,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDTV,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Germany
4.0,9.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Japan
17.0,15.0,,,,,,,1.0,5.0,,,,,,,,,,1.0,,3.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Channel F,Germany
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel F,Japan
2.0,4.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Japan
15.0,21.0,,,,,9.0,1.0,1.0,3.0,1.0,,5.0,,,1.0,3.0,,,,,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
176.0,247.0,,1.0,30.0,9.0,125.0,6.0,11.0,12.0,6.0,1.0,65.0,3.0,1.0,29.0,19.0,1.0,2.0,,,2.0,13.0,17.0,7.0,3.0,1.0,,,15.0,,,,,,17.0,1.0,,,,8.0,,,1.0,7.0,,3.0,,5.0,1.0,,,,1.0,,1.0,Commodore 64,Germany
1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commodore 64,Japan
,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commodore PET/CBM,Germany
11.0,30.0,,1.0,1.0,,,,2.0,3.0,,,3.0,,,,,,,2.0,,4.0,7.0,19.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,4.0,1.0,,,1.0,,,Commodore PET/CBM,Japan
196.0,191.0,,3.0,229.0,9.0,116.0,12.0,15.0,5.0,36.0,,369.0,,,42.0,11.0,14.0,27.0,1.0,,4.0,11.0,32.0,10.0,10.0,,,1.0,9.0,,14.0,,,,13.0,24.0,,,22.0,119.0,,16.0,,116.0,8.0,21.0,2.0,3.0,1.0,2.0,,,,,,DOS,Germany
3.0,4.0,,,2.0,,4.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,DOS,Japan
,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,DVD Player,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,DVD Player,Japan
51.0,130.0,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Dedicated console,Germany
27.0,79.0,,,,,,,,80.0,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Dedicated console,Japan
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated handheld,Germany
,30.0,,,,,9.0,,,1.0,,,,,6.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,Dedicated handheld,Japan
1.0,5.0,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DoJa,Germany
18.0,15.0,2.0,,,,34.0,1.0,2.0,,2.0,,2.0,,,1.0,,2.0,,,2.0,,2.0,1.0,,,2.0,,,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,DoJa,Japan
7.0,15.0,1.0,,2.0,3.0,6.0,3.0,,,9.0,1.0,9.0,2.0,,13.0,5.0,3.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,2.0,2.0,,,,,2.0,,,,,,,,,,Dreamcast,Germany
40.0,61.0,3.0,,6.0,4.0,6.0,8.0,1.0,,14.0,12.0,11.0,2.0,,44.0,22.0,6.0,1.0,,,,4.0,3.0,,1.0,,,,1.0,,,54.0,,4.0,,,2.0,,,4.0,3.0,,,,,6.0,,,,,,,,,,Dreamcast,Japan
,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
1.0,6.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Japan
6.0,20.0,,,,1.0,10.0,,,1.0,1.0,,3.0,,,3.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,ExEn,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM Towns,Germany
25.0,34.0,,,16.0,1.0,9.0,5.0,7.0,,1.0,,32.0,,,13.0,4.0,2.0,,1.0,,,21.0,6.0,4.0,,,,,3.0,,,85.0,,1.0,1.0,,,,4.0,6.0,,,,13.0,,4.0,,3.0,,,,,,,,FM Towns,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-7,Germany
25.0,47.0,1.0,1.0,5.0,,27.0,1.0,,,3.0,,39.0,1.0,,2.0,2.0,,,,,,1.0,2.0,,1.0,1.0,,,,,10.0,3.0,,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,FM-7,Japan
,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Japan
10.0,11.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMINI,Germany
4.0,5.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMINI,Japan
11.0,30.0,,,,,43.0,1.0,1.0,1.0,1.0,,7.0,,,4.0,3.0,,,,,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Game Boy,Germany
42.0,102.0,8.0,1.0,,1.0,87.0,17.0,9.0,1.0,1.0,2.0,28.0,5.0,,23.0,12.0,1.0,2.0,,,2.0,8.0,8.0,1.0,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Game Boy,Japan
