Sci-Fi / Futuristic,Fantasy,Europe,Contemporary,Medieval,Japan (Ancient/Classical/Medieval),North America,China (Ancient/Imperial),Historical Events,Cyberpunk / Dark Sci-Fi,Interwar,Asia,Post-Apocalyptic,World War II,Sea Pirates/Caribbean,Cold War,Industrial Age,World War I,Prehistoric,Classical antiquity,Middle East,Africa,Western,Egypt (Ancient),Steampunk,South America,Pre-Columbian Americas,Oceania,platform,country
,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,DoJa,Germany
13.0,24.0,,1.0,,,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,DoJa,Japan
17.0,7.0,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,Dreamcast,Germany
51.0,30.0,,,1.0,,,1.0,2.0,6.0,5.0,,2.0,2.0,,,,,,,,,,,,,,,Dreamcast,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Epoch Super Cassette Vision,Japan
,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM Towns,Germany
69.0,118.0,3.0,3.0,1.0,4.0,,4.0,21.0,7.0,6.0,1.0,6.0,4.0,2.0,,,,,2.0,3.0,2.0,,1.0,,,,,FM Towns,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-7,Germany
51.0,60.0,1.0,3.0,,4.0,,2.0,10.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,,,,,,,,,,,,,FM-7,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMINI,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIMINI,Japan
11.0,11.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Game Boy,Germany
49.0,52.0,1.0,,,2.0,1.0,,1.0,,,,1.0,,,,,,2.0,,1.0,,,,,,,,Game Boy,Japan
22.0,26.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,2.0,1.0,,1.0,,,,,,Game Boy Advance,Germany
56.0,73.0,3.0,,,1.0,,1.0,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,Game Boy Advance,Japan
7.0,10.0,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,Game Boy Color,Germany
11.0,28.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,,Game Boy Color,Japan
11.0,5.0,1.0,,,,,,,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,Game Gear,Germany
24.0,24.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,Game Gear,Japan
26.0,33.0,3.0,4.0,1.0,,6.0,,4.0,5.0,1.0,4.0,1.0,4.0,,,,,,1.0,5.0,1.0,1.0,,,,,,GameCube,Germany
29.0,31.0,1.0,3.0,,,1.0,,1.0,,,1.0,,1.0,2.0,,,,,1.0,2.0,,,1.0,,,,,GameCube,Japan
30.0,23.0,1.0,,1.0,,,,,4.0,,1.0,3.0,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,Genesis,Germany
95.0,72.0,3.0,1.0,1.0,5.0,,2.0,13.0,5.0,,1.0,6.0,5.0,1.0,,,,1.0,2.0,2.0,2.0,,4.0,,,,,Genesis,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan
5.0,6.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,J2ME,Germany
3.0,6.0,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,J2ME,Japan
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaserActive,Germany
6.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,LaserActive,Japan
16.0,8.0,2.0,3.0,1.0,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,Linux,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,Japan
1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Lynx,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Japan
22.0,15.0,,,,,1.0,,,,3.0,,,,,,,,,1.0,,,,,,1.0,,,MSX,Germany
108.0,130.0,2.0,2.0,,10.0,1.0,3.0,19.0,4.0,3.0,2.0,6.0,3.0,,,,,2.0,,1.0,2.0,1.0,,,1.0,,,MSX,Japan
63.0,59.0,14.0,13.0,5.0,1.0,4.0,2.0,15.0,2.0,5.0,4.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,,5.0,7.0,2.0,,,Macintosh,Germany
12.0,8.0,1.0,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,Macintosh,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Germany
