2D scrolling,Fixed / Flip-screen,Isometric,Free-roaming camera,Cinematic camera,platform,country
,,,,,PC-6001,Germany
12.0,19.0,1.0,,,PC-6001,Japan
,,,,,PC-8000,Germany
9.0,9.0,1.0,,,PC-8000,Japan
,,,,,PC-88,Germany
66.0,84.0,3.0,,,PC-88,Japan
,,,,,PC-98,Germany
56.0,79.0,55.0,6.0,8.0,PC-98,Japan
,,,,,PC-FX,Germany
2.0,,5.0,,,PC-FX,Japan
11.0,4.0,2.0,2.0,2.0,PS Vita,Germany
76.0,29.0,38.0,10.0,10.0,PS Vita,Japan
9.0,4.0,6.0,,4.0,PSP,Germany
62.0,45.0,61.0,12.0,7.0,PSP,Japan
,,,,,Palm OS,Germany
1.0,2.0,,1.0,,Palm OS,Japan
,,,,,Pippin,Germany
,1.0,1.0,,,Pippin,Japan
49.0,13.0,18.0,9.0,13.0,PlayStation,Germany
213.0,105.0,152.0,12.0,34.0,PlayStation,Japan
58.0,5.0,16.0,3.0,16.0,PlayStation 2,Germany
103.0,49.0,43.0,6.0,27.0,PlayStation 2,Japan
39.0,4.0,2.0,5.0,10.0,PlayStation 3,Germany
71.0,14.0,38.0,9.0,16.0,PlayStation 3,Japan
38.0,4.0,2.0,4.0,4.0,PlayStation 4,Germany
139.0,24.0,8.0,5.0,12.0,PlayStation 4,Japan
,,,,,Playdia,Germany
,,,,,Playdia,Japan
,,,,,Pokémon Mini,Germany
1.0,2.0,,,,Pokémon Mini,Japan
3.0,,2.0,,,SEGA 32X,Germany
4.0,,2.0,,,SEGA 32X,Japan
21.0,1.0,1.0,,,SEGA CD,Germany
23.0,1.0,3.0,,1.0,SEGA CD,Japan
123.0,15.0,10.0,,,SEGA Master System,Germany
34.0,7.0,1.0,,,SEGA Master System,Japan
,,,,,SEGA Pico,Germany
,,,,,SEGA Pico,Japan
6.0,1.0,5.0,1.0,1.0,SEGA Saturn,Germany
103.0,42.0,46.0,7.0,11.0,SEGA Saturn,Japan
1.0,,,,,SG-1000,Germany
21.0,34.0,6.0,,,SG-1000,Japan
43.0,5.0,5.0,2.0,,SNES,Germany
258.0,74.0,54.0,3.0,7.0,SNES,Japan
,,,,,Sharp MZ-80B/2000/2500,Germany
4.0,5.0,2.0,,,Sharp MZ-80B/2000/2500,Japan
,,,,,Sharp MZ-80K/700/800/1500,Germany
4.0,13.0,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,Sharp X1,Germany
45.0,47.0,2.0,,,Sharp X1,Japan
,,,,,Sharp X68000,Germany
60.0,35.0,20.0,1.0,1.0,Sharp X68000,Japan
,,,,,Sharp Zaurus,Germany
2.0,6.0,,,,Sharp Zaurus,Japan
,,,,,Sinclair QL,Germany
,,,,,Sinclair QL,Japan
,,,,,Sord M5,Germany
3.0,8.0,,,,Sord M5,Japan
1.0,,,,,Spectravideo,Germany
,,,,,Spectravideo,Japan
,,,,,SuperGrafx,Germany
5.0,,,,,SuperGrafx,Japan
,,,,,Symbian,Germany
,,,,,Symbian,Japan
,5.0,,,,Tele-Spiel ES-2201,Germany
,,,,,Tele-Spiel ES-2201,Japan
,,,,,Tomy Tutor,Germany
1.0,7.0,,,,Tomy Tutor,Japan
,,,,,TurboGrafx CD,Germany
56.0,14.0,8.0,,,TurboGrafx CD,Japan
,,,,,TurboGrafx-16,Germany
84.0,19.0,1.0,,,TurboGrafx-16,Japan
,,,,,V.Smile,Germany
,,,,,V.Smile,Japan
2.0,2.0,,,,VIC-20,Germany
1.0,2.0,,,,VIC-20,Japan
2.0,7.0,,,,Vectrex,Germany
,,,,,Vectrex,Japan
,,,,,Virtual Boy,Germany
,3.0,1.0,,,Virtual Boy,Japan
,1.0,,,,Wang 2200,Germany
,,,,,Wang 2200,Japan
90.0,16.0,7.0,5.0,2.0,Wii,Germany
231.0,72.0,16.0,6.0,1.0,Wii,Japan
26.0,9.0,2.0,1.0,1.0,Wii U,Germany
113.0,36.0,23.0,4.0,,Wii U,Japan
288.0,371.0,629.0,593.0,70.0,Windows,Germany
89.0,43.0,70.0,39.0,9.0,Windows,Japan
3.0,21.0,36.0,6.0,2.0,Windows 3.x,Germany
1.0,12.0,1.0,,3.0,Windows 3.x,Japan
,,,,,Windows Mobile,Germany
1.0,,,,,Windows Mobile,Japan
,1.0,1.0,,,Windows Phone,Germany
,1.0,,,,Windows Phone,Japan
,,,,,WonderSwan,Germany
5.0,14.0,5.0,,,WonderSwan,Japan
