Point and Select,Menu Structures,Direct Control,Multiple Units/Characters Control,Text Parser,Voice Control,Motion Control,platform,country
49.0,4.0,116.0,8.0,,2.0,4.0,Nintendo Switch,Germany
51.0,5.0,164.0,14.0,,,6.0,Nintendo Switch,Japan
,,1.0,,,,,Odyssey,Germany
,,,,,,,Odyssey,Japan
,,7.0,3.0,1.0,,,Odyssey 2,Germany
,,,,,,,Odyssey 2,Japan
,,,,,,,PC Booter,Germany
,,,,,,,PC Booter,Japan
,,,,,,,PC-6001,Germany
,,9.0,,3.0,,,PC-6001,Japan
,,,,,,,PC-8000,Germany
,,2.0,,1.0,,,PC-8000,Japan
,,,,,,,PC-88,Germany
3.0,2.0,29.0,2.0,20.0,,,PC-88,Japan
,,,,,,,PC-98,Germany
28.0,7.0,36.0,11.0,16.0,,,PC-98,Japan
,,,,,,,PC-FX,Germany
,,,,,,,PC-FX,Japan
4.0,1.0,9.0,1.0,,,,PS Vita,Germany
30.0,11.0,58.0,7.0,1.0,,,PS Vita,Japan
1.0,1.0,16.0,,,,,PSP,Germany
19.0,16.0,62.0,8.0,,,,PSP,Japan
,,,,,,,Palm OS,Germany
,,2.0,,,,,Palm OS,Japan
,,,,,,,Pippin,Germany
2.0,,1.0,,,,,Pippin,Japan
14.0,2.0,49.0,18.0,,,,PlayStation,Germany
39.0,26.0,158.0,16.0,,,,PlayStation,Japan
4.0,4.0,132.0,16.0,,19.0,,PlayStation 2,Germany
4.0,8.0,108.0,8.0,,6.0,,PlayStation 2,Japan
6.0,3.0,95.0,8.0,,4.0,1.0,PlayStation 3,Germany
17.0,10.0,76.0,6.0,,,,PlayStation 3,Japan
12.0,1.0,58.0,3.0,,3.0,4.0,PlayStation 4,Germany
21.0,5.0,99.0,7.0,1.0,1.0,4.0,PlayStation 4,Japan
,,,,,,,Playdia,Germany
,,,,,,,Playdia,Japan
,,,,,,,Pokémon Mini,Germany
2.0,,1.0,,,,,Pokémon Mini,Japan
1.0,,1.0,1.0,,,,SEGA 32X,Germany
,,2.0,,,,,SEGA 32X,Japan
2.0,,5.0,2.0,,,,SEGA CD,Germany
4.0,,3.0,1.0,,,,SEGA CD,Japan
1.0,,3.0,1.0,,,,SEGA Master System,Germany
,2.0,4.0,,,,,SEGA Master System,Japan
,,,,,,,SEGA Pico,Germany
,,,,,,,SEGA Pico,Japan
4.0,,1.0,,,,,SEGA Saturn,Germany
21.0,11.0,42.0,8.0,,,,SEGA Saturn,Japan
,,,,,,,SG-1000,Germany
5.0,2.0,14.0,,,,,SG-1000,Japan
1.0,,8.0,,,,,SNES,Germany
22.0,12.0,54.0,7.0,,,,SNES,Japan
,,,,,,,Sharp MZ-80B/2000/2500,Germany
,,5.0,,1.0,,,Sharp MZ-80B/2000/2500,Japan
,,,,,,,Sharp MZ-80K/700/800/1500,Germany
,,2.0,,1.0,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,Sharp X1,Germany
,2.0,21.0,2.0,3.0,,,Sharp X1,Japan
,,,,,,,Sharp X68000,Germany
7.0,,17.0,3.0,,,,Sharp X68000,Japan
,,,,,,,Sharp Zaurus,Germany
,,1.0,,,,,Sharp Zaurus,Japan
,,,,,,,Sinclair QL,Germany
,,,,,,,Sinclair QL,Japan
,,,,,,,Sord M5,Germany
,,,,1.0,,,Sord M5,Japan
,,,,,,,Spectravideo,Germany
,,,,,,,Spectravideo,Japan
,,,,,,,SuperGrafx,Germany
,,,,,,,SuperGrafx,Japan
,,,,,,,Symbian,Germany
,,,,,,,Symbian,Japan
,,5.0,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,Tomy Tutor,Germany
,,,,,,,Tomy Tutor,Japan
,,,,,,,TurboGrafx CD,Germany
4.0,1.0,5.0,2.0,,,,TurboGrafx CD,Japan
,,,,,,,TurboGrafx-16,Germany
1.0,1.0,16.0,,,,,TurboGrafx-16,Japan
,,,,,,,V.Smile,Germany
,,,,,,,V.Smile,Japan
,,,,,,,VIC-20,Germany
,,1.0,,,,,VIC-20,Japan
,,3.0,,,,,Vectrex,Germany
,,,,,,,Vectrex,Japan
,,,,,,,Virtual Boy,Germany
,,2.0,,,,,Virtual Boy,Japan
,,1.0,,,,,Wang 2200,Germany
,,,,,,,Wang 2200,Japan
8.0,,40.0,,,2.0,4.0,Wii,Germany
8.0,2.0,65.0,1.0,,,8.0,Wii,Japan
5.0,,12.0,,,,,Wii U,Germany
2.0,6.0,34.0,,,,2.0,Wii U,Japan
804.0,39.0,673.0,485.0,,1.0,,Windows,Germany
51.0,10.0,82.0,29.0,1.0,,,Windows,Japan
25.0,1.0,5.0,2.0,,,,Windows 3.x,Germany
4.0,3.0,2.0,,,,,Windows 3.x,Japan
,,,,,,,Windows Mobile,Germany
,,1.0,,,,,Windows Mobile,Japan
1.0,,,,,,,Windows Phone,Germany
1.0,,,,,,,Windows Phone,Japan
,,,,,,,WonderSwan,Germany
8.0,,5.0,1.0,,,,WonderSwan,Japan
,,,,,,,WonderSwan Color,Germany
1.0,1.0,4.0,,,,,WonderSwan Color,Japan
,,,,,,,XaviXPORT,Germany
,,,,,,3.0,XaviXPORT,Japan
3.0,,77.0,8.0,,1.0,,Xbox,Germany
1.0,,27.0,1.0,,1.0,,Xbox,Japan
